iter	Passed	Remaining
0	0	51
1	1	51
2	1	47
3	1	43
4	2	42
5	2	41
6	3	40
7	3	40
8	4	40
9	4	40
10	4	40
11	5	39
12	5	39
13	6	39
14	7	39
15	7	39
16	8	39
17	8	38
18	9	39
19	9	38
20	10	38
21	10	37
22	11	37
23	11	36
24	12	36
25	12	35
26	13	35
27	13	34
28	13	34
29	14	33
30	14	33
31	15	32
32	15	32
33	16	32
34	16	31
35	17	31
36	17	30
37	18	30
38	18	29
39	19	28
40	19	28
41	19	27
42	20	27
43	21	26
44	21	26
45	22	25
46	22	25
47	23	24
48	23	24
49	24	24
50	24	23
51	25	23
52	25	23
53	26	22
54	26	22
55	27	21
56	28	21
57	28	20
58	28	20
59	29	19
60	29	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	48	1
97	48	0
98	49	0
99	49	0
